Gene,XGB_Rank,AE_Rank,Combined_Score
ADAM28,0.0,0.45168674,0.22584337
FAM107B,0.0,0.4510255,0.22551274
ERI3,0.0,0.45101383,0.22550692
ZNF493,0.0,0.450618,0.225309
PRAF2,0.0,0.45038733,0.22519366
MMD,0.0,0.45028263,0.22514132
LITAF,0.0,0.45025393,0.22512697
METTL3,0.0,0.4502211,0.22511055
STT3A,0.0,0.449923,0.2249615
SPATA7,0.0,0.44973356,0.22486678
RBM7,0.0,0.44973147,0.22486573
MED7,0.0,0.44972625,0.22486313
RP5-827C21.4,0.0,0.44956294,0.22478147
TACR2,0.0,0.44936702,0.22468351
PURA,0.0,0.44931707,0.22465853
CGRRF1,0.0,0.44924942,0.22462471
GOLGA1,0.0,0.4491604,0.2245802
PPIG,0.0,0.44915673,0.22457837
RPUSD2,0.0,0.44904086,0.22452043
RP11-349A22.5,0.0,0.44896492,0.22448246
PXMP4,0.0,0.44855973,0.22427987
MOB2,0.0,0.44848078,0.22424039
TUBG2,0.0,0.4484656,0.2242328
P2RY10,0.0,0.44835037,0.22417518
CCNG1,0.0,0.44833276,0.22416638
COMMD10,0.0,0.44826916,0.22413458
TCL1B,0.0,0.44818825,0.22409412
RRS1,0.0,0.44813368,0.22406684
GZMK,0.0,0.44802785,0.22401392
CITED4,0.0,0.44781116,0.22390558
RGS14,0.0,0.44776136,0.22388068
SNTA1,0.0,0.44774035,0.22387017
ATP5A1,0.0,0.44768393,0.22384197
MAL,0.0,0.44764003,0.22382002
THOC7,0.0,0.4471327,0.22356635
PPIL4,0.0,0.44708318,0.22354159
ATXN3,0.0,0.44695646,0.22347823
HDAC1,0.0,0.44687012,0.22343506
RP11-384C4.7,0.0,0.44686428,0.22343214
UBE3A,0.0,0.4468152,0.2234076
TMEM138,0.0,0.44677544,0.22338772
ANKRD27,0.0,0.4467674,0.2233837
CEP164,0.0,0.44624114,0.22312057
ACBD3,0.0,0.4460887,0.22304435
SURF6,0.0,0.44601506,0.22300753
PCNX,0.0,0.44600743,0.22300372
RAB6C,0.0,0.445644,0.222822
PALLD,0.0,0.44556895,0.22278447
BACE2,0.0,0.44537297,0.22268648
RNASEH2B,0.0,0.44528604,0.22264302
MRPL42,0.0,0.4452303,0.22261515
CEP120,0.0,0.44505394,0.22252697
FCRL6,0.0,0.44504398,0.22252199
AC092295.7,0.0,0.44483542,0.22241771
HPRT1,0.0,0.44472313,0.22236156
WDR52,0.0,0.44471908,0.22235954
KIAA0040,0.0,0.444532,0.222266
FXN,0.0,0.44432542,0.22216271
ITGB7,0.0,0.44423094,0.22211547
SEMA3D,0.0,0.44402048,0.22201024
CD2AP,0.0,0.44367644,0.22183822
PDXDC1,0.0,0.4434902,0.2217451
C1orf186,0.0,0.4432984,0.2216492
RP11-379F4.4,0.0,0.4429426,0.2214713
DUS3L,0.0,0.44291803,0.22145902
PRPF31,0.0,0.44278678,0.22139339
RP11-661P17.1,0.0,0.4427866,0.2213933
SEPT11,0.0,0.44274157,0.22137079
MLLT6,0.0,0.44263488,0.22131744
BLNK,0.0,0.442604,0.221302
DERL1,0.0,0.44255155,0.22127578
RP13-270P17.1,0.0,0.44212154,0.22106077
NARS,0.0,0.4419743,0.22098716
ZBTB10,0.0,0.4414038,0.2207019
IL6,0.0,0.44135082,0.22067541
ZNF841,0.0,0.44123852,0.22061926
SPATA13-AS1,0.0,0.4410308,0.2205154
LUC7L3,0.0,0.44086123,0.22043061
BLM,0.0,0.44085258,0.22042629
ASB15,0.0,0.44083446,0.22041723
ING5,0.0,0.4408288,0.2204144
ITSN2,0.0,0.44081798,0.22040899
RP11-147L13.8,0.0,0.4408068,0.2204034
ELOVL4,0.0,0.44074348,0.22037174
PGM2L1,0.0,0.4406598,0.2203299
SLC4A7,0.0,0.44049022,0.22024511
AC145110.1,0.0,0.44044596,0.22022298
VPS13A,0.0,0.44034922,0.22017461
RP11-324I22.4,0.0,0.44014993,0.22007497
GPKOW,0.0,0.44008628,0.22004314
DRAXIN,0.0,0.44006208,0.22003104
SIRT1,0.0,0.4399395,0.21996975
RP11-294J22.6,0.0,0.4392582,0.2196291
UBA5,0.0,0.43877545,0.21938772
TNFRSF25,0.0,0.43869638,0.21934819
C2orf76,0.0,0.4386677,0.21933386
ACVR2A,0.0,0.43865868,0.21932934
BTN3A1,0.0,0.4386219,0.21931095
ZNF653,0.0,0.43860438,0.21930219
SPSB2,0.0,0.43846697,0.21923348
FAM210B,0.0,0.43844837,0.21922418
PACS1,0.0,0.4379997,0.21899985
RMDN3,0.0,0.43791586,0.21895793
USP5,0.0,0.4375761,0.21878804
IGJ,0.0,0.43722504,0.21861252
ATP6V0E2,0.0,0.4369389,0.21846946
RPL7L1,0.0,0.43669245,0.21834622
FH,0.0,0.43661857,0.21830928
RP11-271M24.2,0.0,0.43654457,0.21827228
MARCH6,0.0,0.43647325,0.21823663
B4GALT4,0.0,0.43627614,0.21813807
RNF26,0.0,0.4360483,0.21802415
CNEP1R1,0.0,0.43595034,0.21797517
ANKRD54,0.0,0.43571725,0.21785863
