,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
400,GO_Biological_Process_2023,Response To UV (GO:0009411),1/100,0.1178459640404217,0.1381865002994534,0,0,8.365319865319865,17.88820673407011,GPX1
401,GO_Biological_Process_2023,Protein Catabolic Process (GO:0030163),1/102,0.1200610913811501,0.1403993090468094,0,0,8.198844884488448,17.379538920010766,CTSS
402,GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),2/483,0.1214147296400449,0.1415953795257199,0,0,3.5241796980927416,7.4308847018750015,S100A6;AIF1
403,GO_Biological_Process_2023,Positive Regulation Of Stress-Activated MAPK Cascade (GO:0032874),1/105,0.1233737731565347,0.1431002030108316,0,0,7.96113782051282,16.65897326458128,PYCARD
404,GO_Biological_Process_2023,Intrinsic Apoptotic Signaling Pathway (GO:0097193),1/105,0.1233737731565347,0.1431002030108316,0,0,7.96113782051282,16.65897326458128,PYCARD
405,GO_Biological_Process_2023,Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:2000045),1/106,0.1244753374689266,0.1439876876667583,0,0,7.884920634920635,16.42939655103013,AIF1
406,GO_Biological_Process_2023,Lipid Transport (GO:0006869),1/108,0.1266744808885122,0.1457437575814065,0,0,7.736760124610591,15.985187983477685,NPC2
407,GO_Biological_Process_2023,Response To Tumor Necrosis Factor (GO:0034612),1/108,0.1266744808885122,0.1457437575814065,0,0,7.736760124610591,15.985187983477685,PYCARD
408,GO_Biological_Process_2023,Negative Regulation Of Developmental Process (GO:0051093),1/109,0.1277720630553995,0.1466124476882332,0,0,7.664737654320987,15.770254135280071,CST3
409,GO_Biological_Process_2023,Regulation Of JNK Cascade (GO:0046328),1/110,0.1288683209334415,0.1474749768970934,0,0,7.594036697247707,15.559909052128898,PYCARD
410,GO_Biological_Process_2023,Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071900),1/112,0.1310568698603139,0.1495795741339049,0,0,7.456456456456457,15.152443590064316,PYCARD
411,GO_Biological_Process_2023,Cellular Response To Molecule Of Bacterial Origin (GO:0071219),1/117,0.1365051737472374,0.1553835488399405,0,0,7.133261494252873,14.205125310287286,PYCARD
412,GO_Biological_Process_2023,Positive Regulation Of Cell Projection Organization (GO:0031346),1/118,0.1375908921143905,0.1562039836205812,0,0,7.071937321937322,14.02697938619064,S100A9
413,GO_Biological_Process_2023,Regulation Of Protein-Containing Complex Assembly (GO:0043254),1/119,0.1386752998975814,0.1566042964542608,0,0,7.0116525423728815,13.852361349501969,LGALS3
414,GO_Biological_Process_2023,Cellular Response To Tumor Necrosis Factor (GO:0071356),1/119,0.1386752998975814,0.1566042964542608,0,0,7.0116525423728815,13.852361349501969,PYCARD
415,GO_Biological_Process_2023,Fatty Acid Metabolic Process (GO:0006631),1/122,0.1419206748709737,0.1594279497238235,0,0,6.836776859504132,13.348717975228093,GPX1
416,GO_Biological_Process_2023,Receptor-Mediated Endocytosis (GO:0006898),1/122,0.1419206748709737,0.1594279497238235,0,0,6.836776859504132,13.348717975228093,FCER1G
417,GO_Biological_Process_2023,Cellular Response To Lipopolysaccharide (GO:0071222),1/124,0.1440777329710281,0.1614274076219896,0,0,6.724932249322493,13.02889929294851,PYCARD
418,GO_Biological_Process_2023,Positive Regulation Of Intracellular Protein Transport (GO:0090316),1/126,0.146229585037245,0.1634106067779135,0,0,6.616666666666666,12.721053744412291,OAZ1
419,GO_Biological_Process_2023,Protein Homooligomerization (GO:0051260),1/129,0.1494476280522189,0.1665718354332023,0,0,6.460611979166667,12.280391085330436,PYCARD
420,GO_Biological_Process_2023,Epithelial Cell Differentiation (GO:0030855),1/132,0.1526540250124257,0.1697036953384888,0,0,6.311704834605598,11.863361700115332,LGALS3
421,GO_Biological_Process_2023,Regulation Of Gene Expression (GO:0010468),3/1127,0.1642106563755667,0.1820781371210947,0,0,2.287002588159172,4.131710734596426,GPX1;TYROBP;AIF1
422,GO_Biological_Process_2023,Ras Protein Signal Transduction (GO:0007265),1/144,0.1653639583505723,0.1824117891083633,0,0,5.778554778554779,10.39912431317092,AIF1
423,GO_Biological_Process_2023,Actin Filament Organization (GO:0007015),1/144,0.1653639583505723,0.1824117891083633,0,0,5.778554778554779,10.39912431317092,AIF1
424,GO_Biological_Process_2023,Neuron Projection Morphogenesis (GO:0048812),1/146,0.1674644076219803,0.1842538983604308,0,0,5.698275862068965,10.182730312343526,S100A6
